번호,연도,월,시도,구,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0028817,2021년,10월,서울,노원구,삼육주유소,서울 노원구 화랑로 822 (공릉동),SK에너지,셀프,,1710.16,1510.16,1098.39
A0026419,2021년,10월,서울,성북구,삼선주유소,서울 성북구 창경궁로 324,S-OIL,셀프,2030.81,1745.71,1534.42,
A0009071,2021년,10월,서울,중구,현대오일뱅크 장원주유소,서울 중구 동호로 203 (신당동),현대오일뱅크,일반,2153.81,1953.81,1751.23,1183.87
A0009920,2021년,10월,서울,서초구,헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),GS칼텍스,셀프,1958.55,1818.55,1616.45,1318.55
A0009812,2021년,10월,서울,강동구,현대오일뱅크㈜직영 암사셀프주유소,서울 강동구 올림픽로 749 (암사동),현대오일뱅크,셀프,1977.06,1791.06,1583.84,
A0009496,2021년,10월,서울,성북구,신동방주유소,서울 성북구 월계로 84 (장위동),S-OIL,셀프,1955.39,1702.42,1502.42,
A0033271,2021년,10월,서울,강서구,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,S-OIL,셀프,,1789.48,1586.9,
A0000850,2021년,10월,서울,구로구,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),GS칼텍스,일반,1934.42,1738.68,1508.68,
A0000846,2021년,10월,서울,구로구,현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),현대오일뱅크,일반,1950.26,1714.48,1524.48,1100.0
A0010124,2021년,10월,서울,노원구,상계동주유소,서울 노원구 노원로26길 191 (상계동),현대오일뱅크,일반,,1823.55,1623.55,1287.1
A0000873,2021년,10월,서울,서초구,한독주유소,서울 서초구 방배로 218 (방배동),GS칼텍스,셀프,1919.97,1741.74,1543.0,
A0009463,2021년,10월,서울,성북구,신방주유소,서울 성북구 안암로 111 (안암동5가),S-OIL,일반,,1764.16,1564.16,
A0009047,2021년,10월,서울,중구,필동주유소,서울 중구 퇴계로 196 (필동2가),GS칼텍스,일반,2702.23,2402.23,2251.26,1619.97
A0010123,2021년,10월,서울,노원구,성북역주유소,서울 노원구 광운로 95 (월계동),GS칼텍스,일반,1861.42,1735.42,1525.26,
